index,all_sentence,sentence_onset,sentence_offset
0,"So there's some places where animals almost never go, places that are designed by humans for humans.                                                                                                                                                                                                               ",6.592,11.942
1,"This act ends up in a place like that, but it starts about as far from there as you can get.                                                                                                                                                                                                                       ",13.092,17.902
2,Dana Chivvis explains.                                                                                                                                                                                                                                                                                             ,19.052,19.562
3,Our story begins deep in the rainforests of Indonesia on an island called Sulawesi.                                                                                                                                                                                                                                ,21.23392793,24.67392793
4,"A few years ago, the photographer David Slater traveled there from his home in England to photograph a troop of monkeys.                                                                                                                                                                                           ",26.19392793,31.02392793
5,"I'd gone a whole day just following them Mm into the thick of the forest, through the tangles and the vines and the muddy undergrowth and the cobwebs and the poisonous snakes and Oh, man.                                                                                                                        ",31.80982793,42.60532793
6,"you name it, I had to I had to go through it.                                                                                                                                                                                                                                                                      ",43.09422793,45.02422793
7,Uh and it was just so amazing just to be to be like a monkey.                                                                                                                                                                                                                                                      ,45.91422793,48.99422793
8,I I I was a monkey honestly.                                                                                                                                                                                                                                                                                       ,49.35422793,50.65422793
9,"I I had met monkeys before, like I said, mean all over the world.                                                                                                                                                                                                                                                  ",51.94412793,54.61412793
10,"And uh you know I know a little bit about monkey monkey etiquette and showing your teeth not to show your teeth, not to stare them in the face.                                                                                                                                                                    ",55.58412793,61.28412793
11,"Yeah, I this is this is one of the secrets, actually, of being able to get get get good photography is making the animal relaxed.                                                                                                                                                                                  ",62.28412793,67.72412793
12,There was one shot David really wanted to get a full face portrait with a wide angle lens.                                                                                                                                                                                                                         ,68.91712793,74.27712793
13,"But every time he got close to taking the shot, the monkeys would look away.                                                                                                                                                                                                                                       ",75.35712793,78.30712793
14,"So after two days of these near misses, he changed strategies.                                                                                                                                                                                                                                                     ",79.59712793,82.14712793
15,He put his camera on a tripod and threw down some cookies to try to entice the monkeys over.                                                                                                                                                                                                                       ,83.50712793,87.43712793
16,He was hoping they'd get curious about the camera and start pushing the button themselves.                                                                                                                                                                                                                         ,88.55712793,91.93712793
17,They were curious.                                                                                                                                                                                                                                                                                                 ,93.60712793,94.08712793
18,They were not pushing the button.                                                                                                                                                                                                                                                                                  ,95.46712793,96.40712793
19,So David attached a cable with a button on the end of it to the camera.                                                                                                                                                                                                                                            ,98.59712793,101.1771279
20,The monkeys liked that.                                                                                                                                                                                                                                                                                            ,102.4571279,103.1071279
